property_type,prices,prop_description,locations,beds_num,baths_num,area
Apartment,"2,176,000 EGP","Studio on tourist promenade,Limited offer 20% down","Princess Resort, Hurghada Resorts, Hurghada, Red Sea", studio,1, 34 sqm
Twin House,"19,500,000 EGP",Twin House Below Market Price Fully finished,"Azha North, Ras Al Hekma, North Coast",5,5, 247 sqm
Apartment,"3,100,000 EGP",شقة للبيع نص تشطيب بخصم 50% للكاش و متاح تقسيط,"Heliopolis - Masr El Gedida, Cairo",2,1, 100 sqm
Apartment,"7,500,000 EGP",شقة للبيع في مدينتي – B1 أرضي بحديقة خاصة,"Privado, Madinaty, Cairo",3,2, 123 sqm
Apartment,"2,600,000 EGP",For Sale in Kafr Abdo (120m) Khalil El Masry St .,"Khaleel Al Masry St., Kafr Abdo, Roushdy, Hay Sharq, Alexandria",3,1, 120 sqm
Apartment,"8,000,000 EGP",شقة للبيع في مدينتي – B8 فرصة استثمارية مميزة,"Privado, Madinaty, Cairo",3,3, 168 sqm
Apartment,"2,500,000 EGP",شقة 190م دور 8 ثلاثة ارباع تشطيب كاملة المرافق,"Al Lebeny Axis, El Mariouteya, Faisal, Hay El Haram, Giza",4,3, 190 sqm
Villa,"22,900,000 EGP",Twinhouse 3BR With Private Garden Finished Over 7Y,"Bay West, Soma Bay, Safaga, Hurghada, Red Sea",3,3, 171 sqm
Villa,"22,900,000 EGP",Twinhouse 3BR With Garden 115m Finished Over 7Y,"Mesca, Soma Bay, Safaga, Hurghada, Red Sea",3,3, 171 sqm
Villa,"22,970,000 EGP",Twinhouse 3BR With Garden Finished Installment 7Y,"Mesca, Soma Bay, Safaga, Hurghada, Red Sea",3,3, 171 sqm
Villa,"22,990,000 EGP",Twinhouse For Sale 3 BR Garden Finished Over 7Y,"Mesca, Soma Bay, Safaga, Hurghada, Red Sea",3,3, 171 sqm
Villa,"22,980,000 EGP",Twinhouse 3 BR With Garden Finished Over 7 Years,"Mesca, Soma Bay, Safaga, Hurghada, Red Sea",3,3, 171 sqm
Chalet,"2,456,000 EGP",Chalet 2 Bedroom Prime Location With DP 368K,"Golf Porto Marina, Al Alamein, North Coast",2,1, 60 sqm
Chalet,"3,400,000 EGP",Chalet For Sale 2 BR Prime Location Pool View,"Golf Porto Marina, Al Alamein, North Coast",2,1, 60 sqm
Chalet,"23,400,000 EGP",Chalet 2 BR Lagoon View Finished With ACs Over 4Y,"Swan Lake Gouna, El Gouna, Hurghada, Red Sea",2,2, 110 sqm
Apartment,"1,350,000 EGP",شقة 180م دور 10 معها نموذج 10  ثلاثة ارباع تشطيب,"Al Lebeny Axis, El Mariouteya, Faisal, Hay El Haram, Giza",3,2, 180 sqm
Villa,"6,000,000 EGP",فيلا بحمام سباحة للبيع,"Golf Al Solimania, Cairo Alexandria Desert Road, 6 October City, Giza",4,3, 250 sqm
Apartment,"5,000,000 EGP",For Sale in Gianaclis (130 m) Mortada Street .,"Janaklees, Hay Sharq, Alexandria",2,1, 130 sqm
Chalet,"32,000,000 EGP",High End Finishing Senior Chalet Panorama sea view,"Hacienda White, Sidi Abdel Rahman, North Coast",4,3, 300 sqm
Villa,"14,000,000 EGP",للبيع فيلا فيو اكبر بحيره,"Golf Al Solimania, Cairo Alexandria Desert Road, 6 October City, Giza",4,4, 450 sqm
Apartment,"6,107,000 EGP",شقة 179 م + 106 م جاردن في اللوتس الجديدة التجمع ,"El Lotus, New Cairo City, Cairo",3,2, 179 sqm
Apartment,"5,500,000 EGP",شقة 93 م في مدينتي,"Madinaty, Cairo",3,1, 93 sqm
Apartment,"6,467,000 EGP",شقة 223 م في الاندلس 2 التجمع الخامس القاهرة ,"Al Andalus District, New Cairo City, Cairo",4,3, 223 sqm
Apartment,"3,830,000 EGP",شقة 156 م في النورث هاوس التجمع الخامس القاهرة ,"The 5th Settlement, New Cairo City, Cairo",3,2, 156 sqm
Villa,"32,000,000 EGP",installments 10 years villa Dp 10% deliv 2years,"The Crest, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 220 sqm
Apartment,"7,500,000 EGP",للبيع | استوديو مفروش في زد ويست - ORA,"Park Side Residence, Zed Towers, Sheikh Zayed Compounds, Sheikh Zayed City, Giza", studio,1, 59 sqm
Apartment,"9,100,000 EGP","After Disc 10% apt will be 8,2million with 10y ins","Cavali Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 160 sqm
Apartment,"12,200,000 EGP",Largest Apartment 200 M Prime Location Great Price,"El Patio Oro, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 200 sqm
Apartment,"4,750,000 EGP",155m apartment for sale in One Kattameya with park,"One Kattameya, El Katameya Compounds, El Katameya, New Cairo City, Cairo",3,3, 155 sqm
Apartment,"7,700,000 EGP",Dp700k apt160m with 10years installments,"WUUD, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 160 sqm
Apartment,"12,148,000 EGP",Elite Corner Apartment on Lagoon and Land Scape,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3, 136 sqm
Apartment,"2,300,000 EGP",Apartment 108 m for sale in Katameya Gate Compound,"Katameya Gate, El Katameya Compounds, El Katameya, New Cairo City, Cairo",2,2, 108 sqm
Apartment,"4,150,000 EGP",fully finished A 135 sqm Apartment,"One Kattameya, El Katameya Compounds, El Katameya, New Cairo City, Cairo",2,2, 135 sqm
Apartment,"8,000,000 EGP","12years instalment apt fully,f Dp800k view gardens","Noll, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 130 sqm
Villa,"19,000,000 EGP",Elite Cavana standalone Villa 308 M Ready to Move,"S2, Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",4,4, 308 sqm
Villa,"35,000,000 EGP",Villa for Sale in Maxim Country Club Compound,"Maxim, The 1st Settlement, New Cairo City, Cairo",4,4, 480 sqm
Townhouse,"23,500,000 EGP",Townhouse for Sale – Katameya Residence,"Katameya Residence, The 1st Settlement, New Cairo City, Cairo",4,4, 280 sqm
Duplex,"15,222,664 EGP","Beach House for Sale – LVLS, North Coast","LVLS By Mountain View, Qesm Ad Dabaah, North Coast",3,3, 150 sqm
Duplex,"15,611,983 EGP","Duplex for Sale – Zed West, Sheikh Zayed","Park Side Residence, Zed Towers, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3,4, 195 sqm
Apartment,"5,850,000 EGP","A masterpiece for sale – 190 sqm including garage,","One Kattameya, El Katameya Compounds, El Katameya, New Cairo City, Cairo",3,2, 190 sqm
Chalet,"10,000,000 EGP",Studio for Sale in Fouka Bay- North Coast,"Fouka Bay, Qesm Marsa Matrouh, North Coast",1,2, 70 sqm
Apartment,"4,500,000 EGP","Apartment for Sale: La Nolina, Il Bosco City","IL Bosco City, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",2,2, 112 sqm
