property_type,prices,prop_description,locations,beds_num,baths_num,area
Townhouse,"14,200,000 EGP", Corner Townhouse for Sale – Palm Hills New Cairo,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,4, 226 sqm
Chalet,"7,275,000 EGP",Lowest price 3BR north chalet Salt ready finished,"Azzar Islands, Qesm Ad Dabaah, North Coast",3,2, 20 sqm
Apartment,"650,000 EGP",شقه للبيع علي شارع مصر الرئيسى في حي الاندلس ,"El Motamayez District, Badr City, Cairo",3,1, 90 sqm
Apartment,"12,900,000 EGP",Apartment with garden for sale in District 5 ,"District 5, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3, 127 sqm
Penthouse,"12,500,000 EGP","Penthouse 3BR ready to move for resale, Galleria","Galleria Moon Valley, South Investors Area, New Cairo City, Cairo",3,3, 227 sqm
Chalet,"6,400,000 EGP",Rimal Ras El Hekma,"Remal, Ras Al Hekma, North Coast",1,1, 65 sqm
Chalet,"5,700,000 EGP",Finished chalet 97m instalment in sidi abdelrahman,"Marassi, Sidi Abdel Rahman, North Coast",2,2, 20 sqm
Chalet,"5,500,000 EGP",استوديو مميز للبيع مارينا 2 اول علوي تاني صف بحيرة,"Marina 2, Marina, Al Alamein, North Coast",1,1, 60 sqm
Villa,"43,000,000 EGP",Villa for sale in Mivida at a twinhouse price,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4, 253 sqm
Apartment,"5,200,000 EGP",double view greenery and water features ,"HAP Town, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",2,3, 168 sqm
Apartment,"5,100,000 EGP","Ground floor apartment with garden for sale, immed","L'avenir, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,3, 163 sqm
Apartment,"14,800,000 EGP",APT Finished DWP 5500 With Instalment Till 20232,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 171 sqm
Chalet,"9,450,000 EGP",fully furnished chalet in lea under market price,"Marassi, Sidi Abdel Rahman, North Coast",1,1, 66 sqm
Villa,"11,000,000 EGP",Ready-to-Move Townhouse Villa366m in Lake West,"Hood 8 Side St., Green Belt, 6 October City, Giza",3,3, 20 sqm
Apartment,"4,000,000 EGP",Apartment for sale in Dar Misr Al Andalus Compound,"Al Andalus Buildings, Al Andalus District, New Cairo City, Cairo",3,2, 135 sqm
Apartment,"3,000,000 EGP",Receive the best price studio ready to move,"Elan Sarai, Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo", studio,1, 58 sqm
Chalet,"7,275,000 EGP",Lowest price 3BR north chalet Salt ready finished,"Safia, Ras Al Hekma, North Coast",3,2, 20 sqm
Chalet,"8,200,000 EGP",LUXURY CHALET IN NEW GOUNA WITH 8 YEAR INSTALLMENT,"Makadi Heights, Makadi Orascom Resort, Makadi, Hurghada, Red Sea",2,3, 100 sqm
Duplex,"13,500,000 EGP",under market price and modern finshing ,"Casa, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3,3, 234 sqm
Chalet,"7,000,000 EGP",شالية للبيع مارينا 1دور تاني بحري صريح فيو بحر,"Marina 1, Marina, Al Alamein, North Coast",2,2, 120 sqm
Apartment,"3,250,000 EGP",Apartment for sale in Bloom fields Mostakbal city ,"Bloomfields, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",1,1, 76 sqm
Apartment,"6,500,000 EGP",Lowest price resale apart. ready to move Galleria,"Galleria Moon Valley, South Investors Area, New Cairo City, Cairo",2,2, 135 sqm
Chalet,"7,560,000 EGP",very prime location chalet for sale at azha sokhna,"Azha, Al Ain Al Sokhna, Suez",2,2, 100 sqm
Chalet,"12,300,000 EGP",CHALET 3BD FOR SALE SEA VIEW WITH LAUNCH PRICE,"Mesca, Soma Bay, Safaga, Hurghada, Red Sea",3,3, 150 sqm
Apartment,"1,780,000 EGP",للبيع بحدائق الاهرام ١٢٠م - الدور الثانى ,"Hadayek El Ahram, Giza",3,2, 120 sqm
Apartment,"8,736,000 EGP",View Plaza steps from the club,"Vee Sawari, Waterfront, Sawary, Alexandria Compounds, Alexandria",3,3, 168 sqm
Penthouse,"29,000,000 EGP",Semi finished penthouse for sale in Lake View Res.,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,3, 345 sqm
Townhouse,"11,000,000 EGP",Villa for sale with a 54% cash down payment and in,"The Butterfly, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",4,4, 239 sqm
Chalet,"7,275,000 EGP",Lowest price 3BR north chalet Salt ready finished,"Salt, Ras Al Hekma, North Coast",3,2, 20 sqm
Twin House,"4,000,000 EGP",Villa near the airport inst. over 11 years 205 m,"Hood 6 Side St., Green Belt, 6 October City, Giza",4,4, 20 sqm
Bungalow,"30,000,000 EGP","Standalone villa in prime location, direct from Su","Creek Town, The 1st Settlement, New Cairo City, Cairo",3,5, 255 sqm
Apartment,"4,702,500 EGP",Reserve your apartment in North House- 36%down -3Y,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",4,2, 171 sqm
Villa,"58,000,000 EGP",Villa in Mivida New Cairo at the Best Price + ac&#39;s,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,5, 365 sqm
Chalet,"14,500,000 EGP",Chalet Pool View - Modified 2 Bedrooms - Furnished,"Marassi, Sidi Abdel Rahman, North Coast",2,1, 106 sqm
Apartment,"13,800,000 EGP",Delivered apartment 4BR included maintenance+club,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4, 249 sqm
Penthouse,"10,000,000 EGP",Prime Chalet for Sale in La Vista 3 – Ain Sokhna,"La Vista 3, La Vista, Al Ain Al Sokhna, Suez",4,2, 165 sqm
Apartment,"12,000,000 EGP",شقة للبيع 500 م وابور المياه (ش محمد مسعود),"Waboor Elmayah, Hay Wasat, Alexandria",7,5, 500 sqm
Apartment,"10,000,000 EGP",Resale apartment RTM Included Maintenance + Club,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 213 sqm
Chalet,"5,700,000 EGP",Finished chalet 97m instalment in sidi abdelrahman,"Amwaj, Sidi Abdel Rahman, North Coast",2,2, 20 sqm
Apartment,"3,282,000 EGP",Apartment 3bed RTM+Finished in R3 Over 10 Years,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",3,2, 134 sqm
Chalet,"8,500,000 EGP",شالية فندقي للبيع مارينا 4 دور اول علوي,"Marina 4, Marina, Al Alamein, North Coast",3,3, 130 sqm
Apartment,"8,800,000 EGP",Apartment 3bed in New Capital From EGYGAB 5%Dp,"The Islands, New Capital City, Cairo",3,3, 177 sqm
Apartment,"22,800,000 EGP","275m² apartment with VIP garden, immediate deliver","Patio Casa, El Patio, El Shorouk Compounds, Shorouk City, Cairo",4,3, 275 sqm
Duplex,"7,000,000 EGP",شقة دوبلكس للبيع بالمهندسين 450 م بالروف ,"Sphinx Square, Mohandessin, Giza",4,3, 450 sqm
Twin House,"25,000,000 EGP",Lowest Price Twin house For Sale Land scape View ,"Garden Residence, New Cairo City, Cairo",3,4, 279 sqm
Villa,"13,000,000 EGP",DUPLEX VILLA 3BDR FOR SALE FINISHED OVER 10 YEARS ,"Sodic East, 6th District, New Heliopolis, Cairo",3,3, 170 sqm
Villa,"16,900,000 EGP",FOR SALE I VILLA FINISHED OPEN VIEW OVER 10 YEARS,"Sodic East, 6th District, New Heliopolis, Cairo",4,4, 175 sqm
Villa,"16,000,000 EGP",VILLA FOR SALE IN NEW CAIRO FINISHED OVER 10 YEARS,"Sodic East, 6th District, New Heliopolis, Cairo",3,3, 220 sqm
Villa,"21,000,000 EGP",STANDALONE FOR SALE OPEN VIEW CASH DISCOUNT 54% .,"Sodic East, 6th District, New Heliopolis, Cairo",5,4, 250 sqm
Villa,"19,000,000 EGP",VILLA FOR SALE DIRECT LAGOON FINISHED OVER 10YEARS,"Sodic East, 6th District, New Heliopolis, Cairo",4,4, 180 sqm
Twin House,"15,000,000 EGP",Twin house furnished for sale at azha sokhna,"Azha, Al Ain Al Sokhna, Suez",3,2, 185 sqm
Villa,"25,000,000 EGP",LUXURY VILLA FINISHED OPEN VIEW IN NEW CAIRO l 10Y,"Sodic East, 6th District, New Heliopolis, Cairo",5,5, 250 sqm
Twin House,"40,000,000 EGP",Exclusive twinhouse Very Prime Location In Mivida,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 355 sqm
Apartment,"5,550,000 EGP","Apartment for sale, immediate delivery, prime ","L'avenir, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",4,4, 223 sqm
Chalet,"10,000,000 EGP",فرصة نادرة شالية ارضي مستقل للبيع مارينا 1,"Marina 1, Marina, Al Alamein, North Coast",3,2, 120 sqm
Apartment,"6,200,000 EGP",One-bedroom apartment for sale in Badya Compound,"Badya Palm Hills, 6 October Compounds, 6 October City, Giza",1,1, 60 sqm
Duplex,"8,850,000 EGP",Duplex 4BR Lagoon View in New Capital Over 7 Years,"La Verde Casette, New Capital Compounds, New Capital City, Cairo",4,4, 295 sqm
Villa,"50,000,000 EGP",Spacious Villa for Sale Uptown Cairo ALBA SPENDIA,"Alba Spendia, Uptown Cairo, Mokattam, Cairo",3,3, 428 sqm
Villa,"18,000,000 EGP",Villa next to AUC RTM in new caio with the marq,"The MarQ Gardens, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 225 sqm
Twin House,"4,000,000 EGP",Villa near the airport inst. over 11 years 205 m,"Hood 1 St., Green Belt, 6 October City, Giza",4,4, 20 sqm
Apartment,"12,800,000 EGP",installments 9 years +Dp 640k own apt,"The Capital Way, New Capital Compounds, New Capital City, Cairo",3,3, 180 sqm
Apartment,"10,000,000 EGP","Apartment with Double view on the main street,Pool","Dream Land St., Dream Land, Al Wahat Road, 6 October City, Giza",4,4, 252 sqm
Apartment,"8,100,000 EGP",امتلك شقة 137م لقطه للبيع في كمبوند بريفادو بحيرات,"Privado, Madinaty, Cairo",3,2, 137 sqm
Apartment,"6,500,000 EGP",Apartment 3BR open view ready to move/resale-Stone,"Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 175 sqm
Villa,Ask for price,"Villa for sale in Badya Palm Hills, 550 m ins","Badya Palm Hills, 6 October Compounds, 6 October City, Giza",4,4, 550 sqm
Duplex,"7,542,958 EGP",Duplex with garden overlooking Central park,"Elan Sarai, Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",4,4, 205 sqm
Townhouse,"10,128,983 EGP",Townhouse sale installments over 2 years a54.5%dis,"Midtown East, The 6th Settlement, New Cairo City, Cairo",4,4, 305 sqm
Apartment,"4,500,000 EGP",شقة للبيع 160م المنتزة (فيو المنتزة والبحر),"El Montazah, Hay Than El Montazah, Alexandria",3,2, 160 sqm
Villa,"55,000,000 EGP",Finished Villa+Pool in Uptown Cairo | Lowest Price,"Alba Spendia, Uptown Cairo, Mokattam, Cairo",4,4, 365 sqm
Apartment,Ask for price,"3bed APT for sale in October, with installments","Badya Palm Hills, 6 October Compounds, 6 October City, Giza",3,2, 154 sqm
Apartment,"5,920,000 EGP",20%discountNow Apartment 141m D.p10%installment10y,"Armonia, New Capital Compounds, New Capital City, Cairo",2,2, 141 sqm
iVilla,"11,250,000 EGP","I villa garden 4BR for resale/installments, I City","Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4, 255 sqm
Apartment,"7,200,000 EGP",Apartment 175m | Prime location | Semi-finished,"Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 175 sqm
Apartment,"1,147,500 EGP",La Vida Residences: Your Exclusive Urban Retreat,"Magawish, Hurghada, Red Sea", studio,1, 30 sqm
iVilla,"15,000,000 EGP",I Villa View Landscape And Pool Semi Finished ,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4, 287 sqm
Twin House,"31,000,000 EGP",Panoramic View Twin House for Sale in Uptown Cairo,"Eleva, Uptown Cairo, Mokattam, Cairo",3,3, 279 sqm
Chalet,"6,500,000 EGP",شاليه لقطه للبيع ببورتو مارينا g68,"Porto Marina, Al Alamein, North Coast",2,2, 80 sqm
Apartment,"12,695,000 EGP","Apartment for sale, 134 sq m, Palm Hills","Palm Hills, Alexandria Compounds, Alexandria",2,2, 134 sqm
Apartment,"9,000,000 EGP","Finished apartment with 30% discount, Hyde Park","Hyde Park, New Cairo City, Cairo",2,2, 114 sqm
Apartment,"3,000,000 EGP",Fully finished unit in zayed from Dorra over 8 Y,"Alma, 2nd District, Sheikh Zayed City, Giza",3,3, 159 sqm
Chalet,"11,000,000 EGP",شاليه أرضى للبيع بمارينا1 تانى صف بحر 1272,"Marina 1, Marina, Al Alamein, North Coast",3,2, 120 sqm
Twin House,"23,000,000 EGP",Lowest Price Twin house For Sale Ready To Move 4BR,"City Gate, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 313 sqm
Twin House,"4,000,000 EGP",Villa near the airport inst. over 11 years 205 m,"Belle Vie, New Zayed City, Sheikh Zayed City, Giza",4,4, 20 sqm
Apartment,"7,200,000 EGP","Apartment for sale, 225m², Smouha (Fayrouza Smouha","Nady Smouha Al Riyadi St., Smouha, Hay Sharq, Alexandria",3,2, 225 sqm
Chalet,"11,600,000 EGP",شاليه أرضى للبيع بمارينا 5 يرى البحر  1271,"Marina 5, Marina, Al Alamein, North Coast",3,3, 170 sqm
Villa,"70,000,000 EGP",Finished &amp; Ready Villa in Uptown Cairo – 667m,"Levana, Uptown Cairo, Mokattam, Cairo",5,5, 667 sqm
Villa,"28,000,000 EGP",Town House Over 7 Years Close Delivery Prime View,"Swan Lake Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4, 280 sqm
Apartment,"6,800,000 EGP", للبيع في بريفادو84م استلام فوري باقل اوفر للسرعه,"Privado, Madinaty, Cairo",2,1, 84 sqm
Apartment,"7,134,324 EGP","Two-bedroom apartment, fully finished, next to Sod","Talala, New Heliopolis Compounds, New Heliopolis, Cairo",2,2, 100 sqm
Apartment,"17,500,000 EGP",Lowest apartment in alto Uptown Cairo,"Alto, Uptown Cairo, Mokattam, Cairo",3,4, 196 sqm
Apartment,"7,500,000 EGP",Pay 370k and own apt 90m +installment 9y,"The Capital Way, New Capital Compounds, New Capital City, Cairo",1,1, 90 sqm
Villa,"65,000,000 EGP",Standalone Fully Finished-Prime Location -Mivida,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,4, 250 sqm
Villa,"25,000,000 EGP",ڤيلا لقطه للبيع بمارينا5 تانى صف بحيره رملية 1270,"Marina 5, Marina, Al Alamein, North Coast",5,4, 250 sqm
Apartment,"17,790,000 EGP","Ultra SuperLux ,Apartment With Garden In Hyde Park","Hyde Park, New Cairo City, Cairo",2,1, 141 sqm
Chalet,"2,370,000 EGP",Chalet 60m Pool View Down Payment Only 355k,"Golf Porto Marina, Al Alamein, North Coast",2,1, 60 sqm
Apartment,"7,500,000 EGP",THE LUXURY OPEN VIEW IN APARTMENT ON 10 Y PAYMENT!,"Sodic East, 6th District, New Heliopolis, Cairo",1,2, 100 sqm
Apartment,"8,000,000 EGP",FULLY FINISHED APARTMENT IN GOLF VIEW OVER 10YEARS,"Sodic East, 6th District, New Heliopolis, Cairo",2,2, 110 sqm
Apartment,"43,535,453 EGP","of868cytktftttjkjvgliuyvliygvkluyvkuyvkuvkuk,vug,k","Sodic East, 6th District, New Heliopolis, Cairo",3,2, 111 sqm
Apartment,"9,250,000 EGP",LUXURY APARTMENT IN 5th SETTLEMENT : CALL US NOW!!,"Sodic East, 6th District, New Heliopolis, Cairo",2,3, 130 sqm
Apartment,"10,500,000 EGP",FOR SALE : 3BR PRIME APARTMENT IN 5TH SETTLEMENT!!,"Sodic East, 6th District, New Heliopolis, Cairo",3,3, 160 sqm
Apartment,"12,000,000 EGP",FOR SALE 3BR FINISHED APARTMENT IN 5TH SETTLEMENT!,"Sodic East, 6th District, New Heliopolis, Cairo",3,4, 180 sqm
Apartment,"4,300,000 EGP","Apartment for sale in Sheikh Zayed, 200 sq m","Etapa, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3,3, 20 sqm
Chalet,"11,000,000 EGP",New Launch!Prime Chalet 2Beds For Sale In Soma Bay,"Blanca Gardens, Soma Bay, Safaga, Hurghada, Red Sea",2,2, 107 sqm
Chalet,"8,500,000 EGP",شاليه دور تاني علوي للبيع بمارينا 6 ,"Marina 6, Marina, Al Alamein, North Coast",4,3, 165 sqm
Apartment,"10,000,000 EGP",شقه للبيع في مدينتي ارضي بحديقه خاصه,"Madinaty, Cairo",4,3, 189 sqm
Villa,"11,000,000 EGP",Ready-to-Move Townhouse Villa366m in Lake West,"Lake West, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3,3, 20 sqm
Chalet,"2,100,000 EGP",شالية بحديقة للبيع 100 م قرية شماسي,"Shamasy, Sidi Abdel Rahman, North Coast",2,2, 100 sqm
Chalet,"8,200,000 EGP",LUXURY CHALET IN NEW GOUNA WITH 8 YEAR INSTALLMENT,"Mangroovy Residence, El Gouna, Hurghada, Red Sea",2,3, 100 sqm
Chalet,"10,000,000 EGP",OWN FULLY FINISHED CHALET DIRECT ON OPEN LAGOON! !,"Mangroovy Residence, El Gouna, Hurghada, Red Sea",2,3, 150 sqm
Villa,"17,800,000 EGP",VILLA FOR SALE IN NEW GOUNA &amp; FINISHED BY ORASCOM!,"Mangroovy Residence, El Gouna, Hurghada, Red Sea",3,4, 150 sqm
Villa,"20,000,000 EGP",OWN YOUR LUXURY STANDALONE IN NEW GOUNA BY ORASCOM,"Mangroovy Residence, El Gouna, Hurghada, Red Sea",3,4, 170 sqm
Chalet,"11,000,000 EGP",FULLY SEA VIEW CHALET WITH ORASCOM IN NEW GOUNA !!,"Mangroovy Residence, El Gouna, Hurghada, Red Sea",3,4, 180 sqm
Apartment,"25,000,000 EGP",شقة للبيع 298 م سان ستيفانو (ابراج الفورسيزون),"San Stefano, Hay Sharq, Alexandria",4,4, 298 sqm
Chalet,"15,000,000 EGP",3BR CHALET FOR SALE IN PRIME LOCATION IN NEW GOUNA,"Mangroovy Residence, El Gouna, Hurghada, Red Sea",3,4, 160 sqm
Apartment,"6,200,000 EGP",شقه للبيع بمارينا 1 ڤيو بحر وبوول 1269,"Marina 1, Marina, Al Alamein, North Coast",2,1, 80 sqm
Chalet,"11,000,000 EGP",FULLY FINISHED APARTMENT BY ORASCOM IN NEW GOUNA!!,"Mangroovy Residence, El Gouna, Hurghada, Red Sea",3,3, 130 sqm
Chalet,"10,000,000 EGP",OWN FULLY FINISHED CHALET DIRECT ON OPEN LAGOON! !,"Makadi Heights, Makadi Orascom Resort, Makadi, Hurghada, Red Sea",2,3, 150 sqm
Villa,"43,000,000 EGP",Villa for Sale in Madinaty | Exceptional Location ,"Privado, Madinaty, Cairo",5,5, 410 sqm
Villa,"17,800,000 EGP",VILLA FOR SALE IN NEW GOUNA &amp; FINISHED BY ORASCOM!,"Makadi Heights, Makadi Orascom Resort, Makadi, Hurghada, Red Sea",3,4, 150 sqm
Villa,"20,000,000 EGP",OWN YOUR LUXURY STANDALONE IN NEW GOUNA BY ORASCOM,"Makadi Heights, Makadi Orascom Resort, Makadi, Hurghada, Red Sea",3,4, 170 sqm
Apartment,"10,000,000 EGP","Apartment for sale with a garden, 54% discount for","Talala, New Heliopolis Compounds, New Heliopolis, Cairo",2,2, 123 sqm
Chalet,"11,000,000 EGP",FULLY SEA VIEW CHALET WITH ORASCOM IN NEW GOUNA !!,"Makadi Heights, Makadi Orascom Resort, Makadi, Hurghada, Red Sea",3,4, 180 sqm
Villa,"5,000,000 EGP",Brand New Finished Villa 200m+Double View-Install,"Marassi Red Sea, Soma Bay, Safaga, Hurghada, Red Sea",4,3, 20 sqm
Chalet,"15,000,000 EGP",3BR CHALET FOR SALE IN PRIME LOCATION IN NEW GOUNA,"Makadi Heights, Makadi Orascom Resort, Makadi, Hurghada, Red Sea",3,4, 160 sqm
Chalet,"11,000,000 EGP",FULLY FINISHED APARTMENT BY ORASCOM IN NEW GOUNA!!,"Makadi Heights, Makadi Orascom Resort, Makadi, Hurghada, Red Sea",3,3, 130 sqm
Apartment,"7,500,000 EGP",OWN YOUR APARTMENT IN O WEST WITH 9 YEARS PAYMENT!,"Swan Lake West, 6 October Compounds, 6 October City, Giza",2,3, 100 sqm
Villa,"44,400,000 EGP",Townhouse 3 BR Finished Sea View Over 5 Years,"Mangroovy Residence, El Gouna, Hurghada, Red Sea",3,3, 162 sqm
Apartment,"8,000,000 EGP",OWN YOUR UNIQUE PENT HOUSE IN O WEST BY ORASCOM !!,"Swan Lake West, 6 October Compounds, 6 October City, Giza",3,4, 140 sqm
Apartment,"8,400,000 EGP",LUXURY PENTHOUSE IN O WEST || PAYMENT OVER 9YEARS!,"Swan Lake West, 6 October Compounds, 6 October City, Giza",3,4, 160 sqm
Apartment,"9,500,000 EGP",LUXURY APARTMENT IN O WEST || PAYMENT OVER 9YEARS!,"Swan Lake West, 6 October Compounds, 6 October City, Giza",3,4, 150 sqm
Apartment,"5,300,000 EGP",شقة اداري في مصطفي النحاس الرئيسي سعر مميز جدا    ,"Mostafa Al Nahas St., 6th Zone, Nasr City, Cairo",5,2, 220 sqm
Apartment,"12,000,000 EGP",LUXURY APARTMENT IN O WEST BY ORASCOM IN OCTOBER!!,"Swan Lake West, 6 October Compounds, 6 October City, Giza",3,4, 140 sqm
Townhouse,"25,000,000 EGP",Town House for sale in Allegria Sodic Beverly ,"Allegria, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3,4, 240 sqm
Apartment,"13,000,000 EGP",YOUR PRIME LOCATION APARTMENT IN O WEST BY ORASCOM,"Swan Lake West, 6 October Compounds, 6 October City, Giza",3,4, 150 sqm
Apartment,"7,134,324 EGP",Your fully finished apartment next to Sodic East w,"Talala, New Heliopolis Compounds, New Heliopolis, Cairo",2,2, 100 sqm
Chalet,"3,331,000 EGP",Chalet For Sale 2 Bedroom Pool View lowest Price ,"Golf Porto Marina, Al Alamein, North Coast",2,1, 60 sqm
Townhouse,"11,858,200 EGP",For sale townhouse in Seashore Prime location,"Seashore, Ras Al Hekma, North Coast",3,4, 182 sqm
Apartment,Ask for price,Ready to Move Fully Furnished Apartment-VIP Finish,"Abou Al Feda St., Zamalek, Cairo",2,3, 260 sqm
Twin House,"36,889,680 EGP",فيلا فاخرة للبيع في South Med الساحل الشمالي ,"South Med, Qesm Ad Dabaah, North Coast",4,3, 231 sqm
Apartment,"5,278,000 EGP", Apartment view main street 25%DM Installments- 4Y,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",3,2, 203 sqm
Penthouse,"12,000,000 EGP",Luxury Penthouse with Pool for Sale in Lake View 2,"Lake View Residence 2, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,4, 243 sqm
Villa,"44,200,000 EGP",0% DP LIMITED OFFER!! FULLY FINISHED STAND-ALONE.,"Solana East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,3, 320 sqm
Apartment,"5,700,000 EGP",For Sale Apartment Finish Stone 5.7M Acs Kitchen,"Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2, 140 sqm
Apartment,"25,360,000 EGP","Ultra SuperLux ,Apartment With Garden In Hyde Park","Hyde Park, New Cairo City, Cairo",3,1, 212 sqm
Apartment,"1,798,000 EGP",Great Opportunity|Lagoon View Apartment City Gate,"City Gate, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 173 sqm
Apartment,"4,500,000 EGP",For Sale Apartment 3BR in Tesla Prime Location   .,"Tesla Residence, Al Wahat Road, 6 October City, Giza",3,2, 130 sqm
Chalet,"2,250,000 EGP",For Sale – Chalet in Porto Sokhna – Hanging Garden,"Hanging Gardens, Porto Sokhna, Al Ain Al Sokhna, Suez",2,2, 101 sqm
Villa,"30,000,000 EGP",Villa with a Private Garden Ready To Move for sale,"Royal Meadows, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",4,6, 750 sqm
Apartment,"7,500,000 EGP",190m Ground Floor | Hotel Finish | Landscape View,"8th District, Sheikh Zayed City, Giza",3,2, 190 sqm
Apartment,"10,290,000 EGP",Lake View Residence 2 – Prime Apartment for Sale ,"Lake View Residence 2, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2, 143 sqm
Chalet,"15,500,000 EGP",For Quick sale Chalet Golf View - Marassi - Blanca,"Marassi, Sidi Abdel Rahman, North Coast",2,2, 114 sqm
Apartment,"6,725,000 EGP",امتلك شقة في قلب شيراتون بدون مقدم علي اطول فترة,"Rock Yard, Sheraton Al Matar, El Nozha, Cairo",2,2, 128 sqm
Apartment,"12,000,000 EGP",Finished roof apartment delivery 2026 with INST 8Y,"Moon Residences, Fifth Square, The 5th Settlement, New Cairo City, Cairo",2,1, 101 sqm
Apartment,"5,570,000 EGP",RESALE Apartment Finished With Prime Location_ RTM,"Galleria Moon Valley, South Investors Area, New Cairo City, Cairo",2,2, 123 sqm
Apartment,"6,750,000 EGP",لفترة محدودة شقتك كاملةالمرافق بدون مقدم بفيو بحري,"Rock Yard, Sheraton Al Matar, El Nozha, Cairo",2,2, 128 sqm
Apartment,"11,850,000 EGP","2bed APT for sale,with installments over 11 years.","Badya Palm Hills, 6 October Compounds, 6 October City, Giza",2,1, 127 sqm
Apartment,"3,900,000 EGP",شقه ١٢٠م متشطبه بالكامل باللوتس الجنوبيه,"South Lotus, El Lotus, New Cairo City, Cairo",2,2, 120 sqm
Apartment,"5,200,000 EGP","Apartment in Taj Sultan, Ready To Move ","Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2, 139 sqm
Chalet,"58,500,000 EGP",Villa in marassi  direct on lagoon fully furnished,"Marassi, Sidi Abdel Rahman, North Coast",5,5, 400 sqm
Villa,"108,100,000 EGP",Standalone in Fanadir Bay 2-El Gouna With Sea View,"Fanadir Bay 2, El Gouna, Hurghada, Red Sea",4,5, 320 sqm
Villa,"10,945,653 EGP",Svilla for sale in sarai mostakbal city 239m,"Elan Sarai, Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",4,5, 239 sqm
Townhouse,"35,400,000 EGP",OVER 10 YEARS INSTALLMENTS! OWN YOUR FINISHED TOWN,"Solana East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 230 sqm
Apartment,"15,306,000 EGP",Finished garden apartment delivery 2026 ONLY 5%D.p,"Moon Residences, Fifth Square, The 5th Settlement, New Cairo City, Cairo",2,2, 115 sqm
Apartment,"12,000,000 EGP",شقة للبيع 260 م سابا باشا (علي البحر مباشرة) ,"Saba Basha, Hay Sharq, Alexandria",5,3, 260 sqm
Villa,"50,000,000 EGP",Finished Villa for Sale in Uptown Cairo–472m | RTM,"Levana, Uptown Cairo, Mokattam, Cairo",4,5, 472 sqm
Apartment,"10,182,218 EGP",limited offer under market price apartmt galleria ,"Galleria Moon Valley, South Investors Area, New Cairo City, Cairo",3,2, 162 sqm
Apartment,"16,000,000 EGP",Apartment Fully Furnished Great Location and Price,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2, 133 sqm
Apartment,"7,690,000 EGP",Apartment fully finishedDELIVERED lowest price,"El Patio Oro, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2, 128 sqm
Apartment,"7,200,000 EGP",شقة للبيع 260 م لوران ( ش ابو قير مباشرة ) ,"Laurent, Hay Sharq, Alexandria",3,2, 260 sqm
